"placeCode","placeName","stateCode","lat","lng","coverImage"
"GIRNAR","Girnar, Gujarat","GUJARAT",21.5178869,70.5502916,"https://www.holidify.com/images/bgImages/GIRNAR.jpg"
"GOA","Goa","GOA",15.4989,73.8278,"https://www.holidify.com/images/bgImages/GOA.jpg"
"GOALPARA","Goalpara, Assam","ASSAM",26.1667,90.6167,"https://www.holidify.com/images/bgImages/GOALPARA.jpg"
"GOKARNA","Gokarna, Karnataka","KARNATAKA",14.55,74.3167,"https://www.holidify.com/images/bgImages/GOKARNA.jpg"
"GOPALPUR","Gopalpur, Odisha","ODISHA",19.2650124,84.8724284,"https://www.holidify.com/images/bgImages/GOPALPUR.jpg"
"GULBARGA","Gulbarga","KARNATAKA",17.329731,76.8342957,"https://www.holidify.com/images/bgImages/GULBARGA.jpg"
"GULMARG","Gulmarg, Jammu & Kashmir","JAMMU-AND-KASHMIR",34.0609899,74.387576,"https://www.holidify.com/images/bgImages/GULMARG.jpg"
"GUNTUR","Guntur, Andhra Pradesh","ANDHRA-PRADESH",16.3066525,80.4365402,"https://www.holidify.com/images/bgImages/GUNTUR.jpg"
"GUPTAKASHI","Guptakashi, Uttarakhand","UTTARAKHAND",30.5229102,79.0777138,"https://www.holidify.com/images/bgImages/GUPTAKASHI.jpg"
"GURGAON","Gurgaon, Haryana","HARYANA",28.4179583,76.9104653,"https://www.holidify.com/images/bgImages/GURGAON.jpg"
"GURUVAYUR","Guruvayur, Kerala","KERALA",10.5949449,76.038376,"https://www.holidify.com/images/bgImages/GURUVAYUR.jpg"
"GUWAHATI","Guwahati, Assam","ASSAM",26.147129,91.7355511,"https://www.holidify.com/images/bgImages/GUWAHATI.jpg"
"GWALIOR","Gwalior, Madhya Pradesh","MADHYA-PRADESH",26.2182871,78.1828308,"https://www.holidify.com/images/bgImages/GWALIOR.jpg"
"HAILAKANDI","Hailakandi, Assam","ASSAM",24.68,92.57,"https://www.holidify.com/images/bgImages/HAILAKANDI.jpg"
